iter	Passed	Remaining
608	6249	4012
609	6268	4007
610	6285	4002
611	6302	3995
612	6317	3988
613	6331	3980
614	6345	3972
615	6361	3965
616	6372	3955
617	6382	3944
618	6394	3935
619	6404	3925
620	6415	3915
621	6426	3905
622	6434	3893
623	6446	3884
624	6455	3873
625	6465	3862
626	6478	3853
627	6487	3842
628	6498	3833
629	6510	3823
630	6519	3812
631	6528	3801
632	6537	3790
633	6547	3779
634	6559	3770
635	6570	3760
636	6579	3749
637	6590	3739
638	6599	3728
639	6610	3718
640	6624	3709
641	6632	3698
642	6643	3688
643	6652	3677
644	6661	3666
645	6671	3655
646	6679	3644
647	6689	3633
648	6697	3621
649	6707	3611
650	6714	3599
651	6725	3589
652	6733	3578
653	6742	3567
654	6755	3558
655	6763	3546
656	6773	3536
657	6781	3524
658	6791	3514
659	6800	3503
660	6809	3492
661	6819	3482
662	6827	3470
663	6837	3459
664	6844	3448
665	6854	3437
666	6862	3426
667	6873	3415
668	6881	3404
669	6891	3394
670	6900	3383
671	6909	3372
672	6919	3361
673	6926	3350
674	6936	3339
675	6944	3328
676	6955	3318
677	6965	3308
678	6974	3297
679	6987	3288
680	6997	3277
681	7009	3268
682	7022	3259
683	7034	3249
684	7044	3239
685	7056	3229
686	7068	3220
687	7076	3209
688	7088	3199
689	7099	3189
690	7107	3178
691	7119	3168
692	7130	3158
693	7139	3148
694	7154	3139
695	7164	3129
696	7174	3118
697	7184	3108
698	7194	3097
699	7204	3087
700	7215	3077
701	7223	3066
702	7232	3055
703	7239	3043
704	7250	3033
705	7257	3022
706	7269	3012
707	7278	3001
708	7287	2990
709	7297	2980
710	7304	2969
711	7318	2960
712	7327	2949
713	7336	2938
714	7346	2928
715	7353	2916
716	7363	2906
717	7371	2895
718	7381	2884
719	7390	2874
720	7399	2863
721	7408	2852
722	7417	2841
723	7426	2831
724	7437	2821
725	7449	2811
726	7464	2803
727	7476	2793
728	7486	2783
729	7497	2773
730	7507	2762
731	7517	2752
732	7528	2742
733	7540	2732
734	7551	2722
735	7563	2713
736	7574	2702
737	7585	2692
738	7597	2683
739	7607	2673
740	7617	2662
741	7629	2652
742	7636	2641
743	7646	2631
744	7655	2620
745	7664	2609
746	7672	2598
747	7681	2588
748	7692	2577
749	7699	2566
750	7710	2556
751	7718	2545
752	7728	2535
753	7736	2524
754	7746	2513
755	7755	2503
756	7764	2492
757	7772	2481
758	7782	2471
759	7793	2460
760	7801	2450
761	7812	2440
762	7822	2429
763	7831	2419
764	7843	2409
765	7853	2399
766	7862	2388
767	7873	2378
768	7881	2367
769	7892	2357
770	7901	2346
771	7912	2336
772	7923	2326
773	7933	2316
774	7945	2306
775	7955	2296
776	7963	2285
777	7975	2275
778	7984	2265
779	7993	2254
780	8002	2243
781	8012	2233
782	8024	2223
783	8034	2213
784	8044	2203
785	8056	2193
786	8064	2182
787	8075	2172
788	8087	2162
789	8095	2152
790	8107	2142
791	8117	2131
792	8128	2121
793	8140	2112
794	8154	2102
795	8165	2092
796	8175	2082
797	8187	2072
798	8195	2061
799	8206	2051
800	8216	2041
801	8226	2030
802	8236	2020
803	8244	2009
804	8256	1999
805	8266	1989
806	8275	1979
807	8284	1968
808	8291	1957
809	8301	1947
810	8308	1936
811	8319	1926
812	8330	1916
813	8340	1905
814	8351	1895
815	8358	1884
816	8369	1874
817	8376	1863
818	8387	1853
819	8396	1843
820	8406	1832
821	8416	1822
822	8424	1811
823	8435	1801
824	8445	1791
825	8454	1780
826	8464	1770
827	8472	1759
828	8482	1749
829	8489	1738
830	8499	1728
831	8506	1717
832	8515	1707
833	8522	1696
834	8534	1686
835	8544	1676
836	8554	1665
837	8564	1655
838	8573	1645
839	8585	1635
840	8593	1624
841	8605	1614
842	8616	1604
843	8626	1594
844	8635	1584
845	8646	1573
846	8653	1563
847	8664	1552
848	8672	1542
849	8683	1532
850	8693	1522
851	8701	1511
852	8709	1500
853	8718	1490
854	8728	1480
855	8735	1469
856	8745	1459
857	8752	1448
858	8761	1438
859	8769	1427
860	8779	1417
861	8786	1406
862	8796	1396
863	8803	1385
864	8813	1375
865	8822	1365
866	8831	1354
867	8840	1344
868	8849	1333
869	8858	1323
870	8866	1313
871	8877	1303
872	8885	1292
873	8896	1282
874	8905	1272
875	8914	1261
876	8922	1251
877	8932	1241
878	8941	1230
879	8949	1220
880	8959	1210
881	8967	1199
882	8977	1189
883	8984	1178
884	8993	1168
885	9000	1158
886	9010	1147
887	9017	1137
888	9027	1127
889	9033	1116
890	9042	1106
891	9049	1095
892	9059	1085
893	9066	1074
894	9075	1064
895	9082	1054
896	9090	1043
897	9097	1033
898	9107	1023
899	9114	1012
900	9123	1002
901	9131	992
902	9140	981
903	9147	971
904	9156	961
905	9163	950
906	9173	940
907	9181	930
908	9192	920
909	9200	909
910	9209	899
911	9218	889
912	9227	879
913	9237	869
914	9245	858
915	9256	848
916	9264	838
917	9274	828
918	9284	818
919	9293	808
920	9303	798
921	9312	787
922	9325	777
923	9334	767
924	9343	757
925	9354	747
926	9362	737
927	9373	727
928	9381	716
929	9390	706
930	9398	696
931	9406	686
932	9414	676
933	9423	665
934	9430	655
935	9438	645
936	9446	635
937	9454	624
938	9462	614
939	9470	604
940	9477	594
941	9486	584
942	9494	573
943	9502	563
944	9512	553
945	9521	543
946	9528	533
947	9536	523
948	9544	512
949	9552	502
950	9559	492
951	9568	482
952	9574	472
953	9584	462
954	9593	452
955	9604	442
956	9616	432
957	9625	421
958	9635	411
959	9644	401
960	9653	391
961	9661	381
962	9670	371
963	9678	361
964	9687	351
965	9697	341
966	9704	331
967	9714	321
968	9722	311
969	9731	300
970	9741	290
971	9747	280
972	9754	270
973	9763	260
974	9770	250
975	9779	240
976	9786	230
977	9793	220
978	9802	210
979	9812	200
980	9819	190
981	9829	180
982	9836	170
983	9846	160
984	9856	150
985	9865	140
986	9874	130
987	9882	120
988	9890	110
989	9899	99
990	9908	89
991	9917	79
992	9927	69
993	9934	59
994	9944	49
995	9953	39
996	9962	29
997	9970	19
998	9978	9
999	9986	0
